,Potential applied / V,Time / s,WE(1).Current / A,WE(1).Potential / V,Scan,Index
0,0.001068115234375,20.5662029480753,0.1097412109375,0.0011871337890625,2,4217
1,0.00213623046875,20.5697629480663,0.109619140625,0.00226440429687499,2,4218
2,0.003204345703125,20.5733229480574,0.109619140625,0.00331726074218749,2,4219
3,0.0042724609375,20.5768829480484,0.1094970703125,0.00440368652343751,2,4220
4,0.005340576171875,20.5804429480394,0.109405517578125,0.005462646484375,2,4221
5,0.00640869140625,20.5840029480304,0.109344482421875,0.00652465820312501,2,4222
6,0.007476806640625,20.5875629480214,0.10931396484375,0.00760803222656251,2,4223
7,0.008544921875,20.5911229480124,0.109039306640625,0.00866088867187501,2,4224
8,0.009613037109375,20.5946829480034,0.1090087890625,0.00971374511718751,2,4225
9,0.01068115234375,20.5982429479944,0.108795166015625,0.0108123779296875,2,4226
10,0.011749267578125,20.6018029479854,0.1087646484375,0.0118804931640625,2,4227
11,0.0128173828125,20.6053629479765,0.108612060546875,0.012933349609375,2,4228
12,0.013885498046875,20.6089229479675,0.108489990234375,0.0140045166015625,2,4229
13,0.01495361328125,20.6124829479585,0.108245849609375,0.0150665283203125,2,4230
14,0.016021728515625,20.6160429479495,0.108123779296875,0.0161346435546875,2,4231
15,0.01708984375,20.6196029479405,0.107879638671875,0.0171905517578125,2,4232
16,0.018157958984375,20.6231629479315,0.107666015625,0.018255615234375,2,4233
17,0.01922607421875,20.6267229479225,0.10736083984375,0.019342041015625,2,4234
18,0.020294189453125,20.6302829479135,0.107147216796875,0.0203857421875,2,4235
19,0.0213623046875,20.6338429479046,0.1068115234375,0.0214599609375,2,4236
20,0.022430419921875,20.6374029478956,0.106475830078125,0.022540283203125,2,4237
21,0.02349853515625,20.6409629478866,0.106109619140625,0.023614501953125,2,4238
22,0.024566650390625,20.6445229478776,0.1058349609375,0.0246551513671875,2,4239
23,0.025634765625,20.6480829478686,0.105499267578125,0.02574462890625,2,4240
24,0.026702880859375,20.6516429478596,0.10516357421875,0.0267913818359375,2,4241
25,0.02777099609375,20.6552029478506,0.104736328125,0.0278717041015625,2,4242
26,0.028839111328125,20.6587629478416,0.10443115234375,0.028955078125,2,4243
27,0.0299072265625,20.6623229478326,0.10406494140625,0.0300048828125,2,4244
28,0.030975341796875,20.6658829478237,0.10382080078125,0.0310699462890625,2,4245
29,0.03204345703125,20.6694429478147,0.1033935546875,0.0321319580078125,2,4246
30,0.033111572265625,20.6730029478057,0.103057861328125,0.0332061767578125,2,4247
