Figure 11 and 12 Data,WE Area (cm^2),0.890512712,,,,,,,,,,,,,,,,Figure 12 (bottom),,,,,,,,
No add.,,,No. add. Partial,,,1st add.,,,1st add. Partial,,,2nd add.,,,2nd add. Partial,,,0.7 V/s Partials with baseline correction,,,,,,,,
0.7 V/s,,,0.7 V/s,,,0.7 V/s,,,0.7 V/s,,,0.7 V/s,,,0.7 V/s ,,,2nd add.,,,1st add.,,,No add.,,
Potential (V),Current (A),Current Density (A/cm^2),Potential (V),Current (A),Current Density (A/cm^2),Potential (V),Current (A),Current Density (A/cm^2),Potential (V),Current (A),Current Density (A/cm^2),Potential (V),Current (A),Current Density (A/cm^2),Potential (V),Current (A),Current Density (A/cm^2),Potential (V),Current (A),Current Density (A/cm^2),Potential (V),Current (A),Current Density (A/cm^2),Potential (V),Current (A),Current Density (A/cm^2)
-0.000924683,-0.00601196,-0.006751122,-0.000927734,0.000738525,0.000829326,-0.000933838,-0.0128418,-0.014420681,-0.000942993,0.00172729,0.001939658,-0.000927734,-0.0133667,-0.015010117,-0.100739,-0.00307617,-0.003454381,-0.101013,-3.20E-05,-3.59E-05,-0.00106812,0.0013372,0.001501607,-0.00106812,2.63E-05,2.95593E-05
-0.0019928,-0.00593567,-0.006665452,-0.0019989,0.000750732,0.000843033,-0.00200195,-0.0129303,-0.014520062,-0.002005,0.00158691,0.001782018,-0.00198364,-0.0133759,-0.015020448,-0.101837,-0.00318298,-0.003574323,-0.102081,-0.000106093,-1.19E-04,-0.00213623,0.00121597,0.001365472,-0.00213623,4.07E-05,4.57393E-05
-0.00307312,-0.00597839,-0.006713425,-0.00306091,0.000698853,0.000784776,-0.00306396,-0.0129089,-0.014496031,-0.00308533,0.00159607,0.001792305,-0.00306091,-0.0133575,-0.014999786,-0.102905,-0.0031311,-0.003516064,-0.103149,-2.15E-05,-2.42E-05,-0.00320435,0.00124428,0.001397262,-0.00320435,5.86E-05,6.58363E-05
-0.00410767,-0.00601807,-0.006757983,-0.00411072,0.000653076,0.000733371,-0.00412292,-0.0129852,-0.014581712,-0.00410767,0.0015625,0.001754607,-0.0040863,-0.0134583,-0.015112979,-0.103973,-0.00319519,-0.003588034,-0.104218,-5.30E-05,-5.95E-05,-0.00427246,0.00122986,0.00138107,-0.00427246,6.01E-05,6.74897E-05
-0.00518799,-0.00596924,-0.00670315,-0.00518799,0.00057373,0.000644269,-0.00519409,-0.0130585,-0.014664024,-0.00519409,0.00149231,0.001675787,-0.0052002,-0.0134125,-0.015061548,-0.10498,-0.00328979,-0.003694265,-0.105286,-0.00011489,-1.29E-04,-0.00534058,0.00117882,0.001323754,-0.00534058,6.42E-05,7.2139E-05
-0.00622559,-0.00606384,-0.006809381,-0.00626221,0.000592041,0.000664832,-0.00626526,-0.0130402,-0.014643474,-0.00627136,0.00148926,0.001672362,-0.00626221,-0.0134888,-0.015147229,-0.106018,-0.00325012,-0.003649718,-0.106354,-4.25E-05,-4.78E-05,-0.00640869,0.00119492,0.001341834,-0.00640869,6.53E-05,7.33799E-05
-0.00733032,-0.00599365,-0.006730561,-0.00731812,0.000476074,0.000534607,-0.00731812,-0.0130981,-0.014708493,-0.00733643,0.00139771,0.001569556,-0.00733948,-0.0134247,-0.015075248,-0.107147,-0.00333862,-0.003749099,-0.107422,-9.84E-05,-1.10E-04,-0.00747681,0.00112252,0.001260532,-0.00747681,5.36E-05,6.02306E-05
-0.00838318,-0.00601807,-0.006757983,-0.00837402,0.000448608,0.000503764,-0.00838928,-0.0130554,-0.014660543,-0.00841675,0.00142517,0.001600393,-0.00838928,-0.0135223,-0.015184848,-0.108185,-0.0032959,-0.003701126,-0.10849,-2.30E-05,-2.58E-05,-0.00854492,0.00116913,0.001312873,-0.00854492,5.07E-05,5.6897E-05
